x,y,left_bound,right_bound
0.000000,0.000000,2.000000,2.000000
0.220980,0.157764,2.000000,2.000000
0.441739,0.314899,2.000000,2.000000
0.662059,0.470779,2.000000,2.000000
0.881718,0.624782,2.000000,2.000000
1.100498,0.776295,2.000000,2.000000
1.318182,0.924713,2.000000,2.000000
1.534551,1.069445,2.000000,2.000000
1.749391,1.209914,2.000000,2.000000
1.962487,1.345560,2.000000,2.000000
2.173626,1.475842,2.000000,2.000000
2.382599,1.600241,2.000000,2.000000
2.589197,1.718260,2.000000,2.000000
2.793214,1.829431,2.000000,2.000000
2.994446,1.933308,2.000000,2.000000
3.192694,2.029479,2.000000,2.000000
3.387759,2.117560,2.000000,2.000000
3.579447,2.197200,2.000000,2.000000
3.767567,2.268081,2.000000,2.000000
3.951932,2.329920,2.000000,2.000000
4.132357,2.382472,2.000000,2.000000
4.308663,2.425527,2.000000,2.000000
4.480674,2.458913,2.000000,2.000000
4.648218,2.482497,2.000000,2.000000
4.811129,2.496185,2.000000,2.000000
4.969244,2.499922,2.000000,2.000000
5.122406,2.493694,2.000000,2.000000
5.270461,2.477526,2.000000,2.000000
5.413263,2.451481,2.000000,2.000000
5.550669,2.415664,2.000000,2.000000
5.682542,2.370217,2.000000,2.000000
5.808750,2.315322,2.000000,2.000000
5.929168,2.251198,2.000000,2.000000
6.043676,2.178099,2.000000,2.000000
6.152159,2.096318,2.000000,2.000000
6.254510,2.006181,2.000000,2.000000
6.350626,1.908046,2.000000,2.000000
6.440411,1.802305,2.000000,2.000000
6.523777,1.689380,2.000000,2.000000
6.600639,1.569720,2.000000,2.000000
6.670922,1.443803,2.000000,2.000000
6.734556,1.312130,2.000000,2.000000
6.791476,1.175227,2.000000,2.000000
6.841626,1.033640,2.000000,2.000000
6.884956,0.887931,2.000000,2.000000
6.921423,0.738684,2.000000,2.000000
6.950991,0.586491,2.000000,2.000000
6.973630,0.431961,2.000000,2.000000
6.989317,0.275709,2.000000,2.000000
6.998037,0.118357,2.000000,2.000000
6.999782,-0.039466,2.000000,2.000000
6.994549,-0.197131,2.000000,2.000000
6.982344,-0.354011,2.000000,2.000000
6.963178,-0.509480,2.000000,2.000000
6.937071,-0.662918,2.000000,2.000000
6.904050,-0.813713,2.000000,2.000000
6.864146,-0.961265,2.000000,2.000000
6.817400,-1.104984,2.000000,2.000000
6.763858,-1.244299,2.000000,2.000000
6.703574,-1.378654,2.000000,2.000000
6.636608,-1.507513,2.000000,2.000000
6.563026,-1.630362,2.000000,2.000000
6.482902,-1.746713,2.000000,2.000000
6.396316,-1.856100,2.000000,2.000000
6.303353,-1.958089,2.000000,2.000000
6.204108,-2.052272,2.000000,2.000000
6.098677,-2.138274,2.000000,2.000000
5.987168,-2.215753,2.000000,2.000000
5.869691,-2.284398,2.000000,2.000000
5.746362,-2.343938,2.000000,2.000000
5.617305,-2.394134,2.000000,2.000000
5.482649,-2.434786,2.000000,2.000000
5.342528,-2.465732,2.000000,2.000000
5.197081,-2.486849,2.000000,2.000000
5.046454,-2.498053,2.000000,2.000000
4.890796,-2.499299,2.000000,2.000000
4.730263,-2.490582,2.000000,2.000000
4.565015,-2.471937,2.000000,2.000000
4.395216,-2.443438,2.000000,2.000000
4.221036,-2.405198,2.000000,2.000000
4.042648,-2.357371,2.000000,2.000000
3.860231,-2.300147,2.000000,2.000000
3.673965,-2.233753,2.000000,2.000000
3.484037,-2.158456,2.000000,2.000000
3.290637,-2.074554,2.000000,2.000000
3.093956,-1.982382,2.000000,2.000000
2.894191,-1.882308,2.000000,2.000000
2.691541,-1.774730,2.000000,2.000000
2.486208,-1.660078,2.000000,2.000000
2.278397,-1.538808,2.000000,2.000000
2.068314,-1.411404,2.000000,2.000000
1.856170,-1.278374,2.000000,2.000000
1.642176,-1.140248,2.000000,2.000000
1.426544,-0.997576,2.000000,2.000000
1.209491,-0.850928,2.000000,2.000000
0.991232,-0.700888,2.000000,2.000000
0.771984,-0.548054,2.000000,2.000000
0.551968,-0.393035,2.000000,2.000000
0.331401,-0.236450,2.000000,2.000000
0.110504,-0.078921,2.000000,2.000000
-0.110504,0.078921,2.000000,2.000000
-0.331401,0.236450,2.000000,2.000000
-0.551968,0.393035,2.000000,2.000000
-0.771984,0.548054,2.000000,2.000000
-0.991232,0.700888,2.000000,2.000000
-1.209491,0.850928,2.000000,2.000000
-1.426544,0.997576,2.000000,2.000000
-1.642176,1.140248,2.000000,2.000000
-1.856170,1.278374,2.000000,2.000000
-2.068314,1.411404,2.000000,2.000000
-2.278397,1.538808,2.000000,2.000000
-2.486208,1.660078,2.000000,2.000000
-2.691541,1.774730,2.000000,2.000000
-2.894191,1.882308,2.000000,2.000000
-3.093956,1.982382,2.000000,2.000000
-3.290637,2.074554,2.000000,2.000000
-3.484037,2.158456,2.000000,2.000000
-3.673965,2.233753,2.000000,2.000000
-3.860231,2.300147,2.000000,2.000000
-4.042648,2.357371,2.000000,2.000000
-4.221036,2.405198,2.000000,2.000000
-4.395216,2.443438,2.000000,2.000000
-4.565015,2.471937,2.000000,2.000000
-4.730263,2.490582,2.000000,2.000000
-4.890796,2.499299,2.000000,2.000000
-5.046454,2.498053,2.000000,2.000000
-5.197081,2.486849,2.000000,2.000000
-5.342528,2.465732,2.000000,2.000000
-5.482649,2.434786,2.000000,2.000000
-5.617305,2.394134,2.000000,2.000000
-5.746362,2.343938,2.000000,2.000000
-5.869691,2.284398,2.000000,2.000000
-5.987168,2.215753,2.000000,2.000000
-6.098677,2.138274,2.000000,2.000000
-6.204108,2.052272,2.000000,2.000000
-6.303353,1.958089,2.000000,2.000000
-6.396316,1.856100,2.000000,2.000000
-6.482902,1.746713,2.000000,2.000000
-6.563026,1.630362,2.000000,2.000000
-6.636608,1.507513,2.000000,2.000000
-6.703574,1.378654,2.000000,2.000000
-6.763858,1.244299,2.000000,2.000000
-6.817400,1.104984,2.000000,2.000000
-6.864146,0.961265,2.000000,2.000000
-6.904050,0.813713,2.000000,2.000000
-6.937071,0.662918,2.000000,2.000000
-6.963178,0.509480,2.000000,2.000000
-6.982344,0.354011,2.000000,2.000000
-6.994549,0.197131,2.000000,2.000000
-6.999782,0.039466,2.000000,2.000000
-6.998037,-0.118357,2.000000,2.000000
-6.989317,-0.275709,2.000000,2.000000
-6.973630,-0.431961,2.000000,2.000000
-6.950991,-0.586491,2.000000,2.000000
-6.921423,-0.738684,2.000000,2.000000
-6.884956,-0.887931,2.000000,2.000000
-6.841626,-1.033640,2.000000,2.000000
-6.791476,-1.175227,2.000000,2.000000
-6.734556,-1.312130,2.000000,2.000000
-6.670922,-1.443803,2.000000,2.000000
-6.600639,-1.569720,2.000000,2.000000
-6.523777,-1.689380,2.000000,2.000000
-6.440411,-1.802305,2.000000,2.000000
-6.350626,-1.908046,2.000000,2.000000
-6.254510,-2.006181,2.000000,2.000000
-6.152159,-2.096318,2.000000,2.000000
-6.043676,-2.178099,2.000000,2.000000
-5.929168,-2.251198,2.000000,2.000000
-5.808750,-2.315322,2.000000,2.000000
-5.682542,-2.370217,2.000000,2.000000
-5.550669,-2.415664,2.000000,2.000000
-5.413263,-2.451481,2.000000,2.000000
-5.270461,-2.477526,2.000000,2.000000
-5.122406,-2.493694,2.000000,2.000000
-4.969244,-2.499922,2.000000,2.000000
-4.811129,-2.496185,2.000000,2.000000
-4.648218,-2.482497,2.000000,2.000000
-4.480674,-2.458913,2.000000,2.000000
-4.308663,-2.425527,2.000000,2.000000
-4.132357,-2.382472,2.000000,2.000000
-3.951932,-2.329920,2.000000,2.000000
-3.767567,-2.268081,2.000000,2.000000
-3.579447,-2.197200,2.000000,2.000000
-3.387759,-2.117560,2.000000,2.000000
-3.192694,-2.029479,2.000000,2.000000
-2.994446,-1.933308,2.000000,2.000000
-2.793214,-1.829431,2.000000,2.000000
-2.589197,-1.718260,2.000000,2.000000
-2.382599,-1.600241,2.000000,2.000000
-2.173626,-1.475842,2.000000,2.000000
-1.962487,-1.345560,2.000000,2.000000
-1.749391,-1.209914,2.000000,2.000000
-1.534551,-1.069445,2.000000,2.000000
-1.318182,-0.924713,2.000000,2.000000
-1.100498,-0.776295,2.000000,2.000000
-0.881718,-0.624782,2.000000,2.000000
-0.662059,-0.470779,2.000000,2.000000
-0.441739,-0.314899,2.000000,2.000000
-0.220980,-0.157764,2.000000,2.000000
-0.000000,-0.000000,2.000000,2.000000
