x,y,right_bound,left_bound
0.222705,-0.162081,0.800000,0.800000
0.431584,0.011037,0.800000,0.800000
0.588141,0.081224,0.800000,0.800000
0.739223,0.168288,0.800000,0.800000
0.878902,0.269442,0.800000,0.800000
1.015193,0.380201,0.800000,0.800000
1.150369,0.491296,0.800000,0.800000
1.283820,0.602660,0.800000,0.800000
1.420159,0.713270,0.800000,0.800000
1.556100,0.827342,0.800000,0.800000
1.675275,0.954560,0.800000,0.800000
1.800064,1.080699,0.800000,0.800000
1.920811,1.208454,0.800000,0.800000
2.047717,1.332740,0.800000,0.800000
2.166693,1.458532,0.800000,0.800000
2.287154,1.586021,0.800000,0.800000
2.420559,1.701731,0.800000,0.800000
2.574529,1.788235,0.800000,0.800000
2.743191,1.834092,0.800000,0.800000
2.919488,1.861631,0.800000,0.800000
3.090147,1.884561,0.800000,0.800000
3.265818,1.890018,0.800000,0.800000
3.448717,1.894760,0.800000,0.800000
3.624336,1.902421,0.800000,0.800000
3.803213,1.906394,0.800000,0.800000
3.975915,1.909056,0.800000,0.800000
4.152153,1.913474,0.800000,0.800000
4.324582,1.916282,0.800000,0.800000
4.500953,1.915045,0.800000,0.800000
4.679912,1.915772,0.800000,0.800000
4.859777,1.914991,0.800000,0.800000
5.035295,1.915495,0.800000,0.800000
5.210040,1.909059,0.800000,0.800000
5.381287,1.867162,0.800000,0.800000
5.538338,1.782478,0.800000,0.800000
5.674235,1.671665,0.800000,0.800000
5.810588,1.559700,0.800000,0.800000
5.924476,1.426988,0.800000,0.800000
6.006014,1.270130,0.800000,0.800000
6.067799,1.109712,0.800000,0.800000
6.119418,0.942798,0.800000,0.800000
6.160279,0.776842,0.800000,0.800000
6.191422,0.605446,0.800000,0.800000
6.207933,0.431217,0.800000,0.800000
6.209618,0.256947,0.800000,0.800000
6.206321,0.083884,0.800000,0.800000
6.191239,-0.090766,0.800000,0.800000
6.179315,-0.263818,0.800000,0.800000
6.165496,-0.436790,0.800000,0.800000
6.151586,-0.611613,0.800000,0.800000
6.129908,-0.784374,0.800000,0.800000
6.092104,-0.953133,0.800000,0.800000
6.046231,-1.122220,0.800000,0.800000
5.983568,-1.285265,0.800000,0.800000
5.904995,-1.438241,0.800000,0.800000
5.811523,-1.588121,0.800000,0.800000
5.711142,-1.729775,0.800000,0.800000
5.591660,-1.857514,0.800000,0.800000
5.459136,-1.972850,0.800000,0.800000
5.311165,-2.067813,0.800000,0.800000
5.151758,-2.141362,0.800000,0.800000
4.987742,-2.186693,0.800000,0.800000
4.817278,-2.210245,0.800000,0.800000
4.643866,-2.223928,0.800000,0.800000
4.470163,-2.219691,0.800000,0.800000
4.297619,-2.216365,0.800000,0.800000
4.124911,-2.212345,0.800000,0.800000
3.953534,-2.208485,0.800000,0.800000
3.781838,-2.206592,0.800000,0.800000
3.609554,-2.203953,0.800000,0.800000
3.437433,-2.200827,0.800000,0.800000
3.264898,-2.199973,0.800000,0.800000
3.089066,-2.197896,0.800000,0.800000
2.917412,-2.166430,0.800000,0.800000
2.749369,-2.120017,0.800000,0.800000
2.583988,-2.065482,0.800000,0.800000
2.422003,-1.998844,0.800000,0.800000
2.265035,-1.918123,0.800000,0.800000
2.116801,-1.827007,0.800000,0.800000
1.967845,-1.733477,0.800000,0.800000
1.828232,-1.630169,0.800000,0.800000
1.686958,-1.528222,0.800000,0.800000
1.545243,-1.425789,0.800000,0.800000
1.402141,-1.323492,0.800000,0.800000
1.261792,-1.222743,0.800000,0.800000
1.121406,-1.119970,0.800000,0.800000
0.981226,-1.017085,0.800000,0.800000
0.840239,-0.914924,0.800000,0.800000
0.685327,-0.802247,0.800000,0.800000
0.542747,-0.700342,0.800000,0.800000
0.402341,-0.598563,0.800000,0.800000
0.256746,-0.497089,0.800000,0.800000
0.118861,-0.395722,0.800000,0.800000
-0.021277,-0.291856,0.800000,0.800000
-0.160237,-0.189433,0.800000,0.800000
-0.299646,-0.086487,0.800000,0.800000
-0.439077,0.016326,0.800000,0.800000
