x,y,right_bound,left_bound
0.222705,-0.062081,0.000000,0.000000
0.431584,0.111037,0.000000,0.000000
0.588141,0.181224,0.000000,0.000000
0.739223,0.268288,0.000000,0.000000
0.878902,0.369442,0.000000,0.000000
1.015193,0.480201,0.000000,0.000000
1.150369,0.591296,0.000000,0.000000
1.283820,0.702660,0.000000,0.000000
1.420159,0.813270,0.000000,0.000000
1.556100,0.927342,0.000000,0.000000
1.675275,1.054560,0.000000,0.000000
1.800064,1.180699,0.000000,0.000000
1.920811,1.308454,0.000000,0.000000
2.047717,1.432740,0.000000,0.000000
2.166693,1.558532,0.000000,0.000000
2.287154,1.686021,0.000000,0.000000
2.420559,1.801731,0.000000,0.000000
2.574529,1.888235,0.000000,0.000000
2.743191,1.934092,0.000000,0.000000
2.919488,1.961631,0.000000,0.000000
3.090147,1.984561,0.000000,0.000000
3.265818,1.990018,0.000000,0.000000
3.448717,1.994760,0.000000,0.000000
3.624336,2.002421,0.000000,0.000000
3.803213,2.006394,0.000000,0.000000
3.975915,2.009056,0.000000,0.000000
4.152153,2.013474,0.000000,0.000000
4.324582,2.016282,0.000000,0.000000
4.500953,2.015045,0.000000,0.000000
4.679912,2.015772,0.000000,0.000000
4.859777,2.014991,0.000000,0.000000
5.035295,2.015495,0.000000,0.000000
5.210040,2.009059,0.000000,0.000000
5.381287,1.967162,0.000000,0.000000
5.538338,1.882478,0.000000,0.000000
5.674235,1.771665,0.000000,0.000000
5.810588,1.659700,0.000000,0.000000
5.924476,1.526988,0.000000,0.000000
6.006014,1.370130,0.000000,0.000000
6.067799,1.209712,0.000000,0.000000
6.119418,1.042798,0.000000,0.000000
6.160279,0.876842,0.000000,0.000000
6.191422,0.705446,0.000000,0.000000
6.207933,0.531217,0.000000,0.000000
6.209618,0.356947,0.000000,0.000000
6.206321,0.183884,0.000000,0.000000
6.191239,0.009234,0.000000,0.000000
6.179315,-0.163818,0.000000,0.000000
6.165496,-0.336790,0.000000,0.000000
6.151586,-0.511613,0.000000,0.000000
6.129908,-0.684374,0.000000,0.000000
6.092104,-0.853133,0.000000,0.000000
6.046231,-1.022220,0.000000,0.000000
5.983568,-1.185265,0.000000,0.000000
5.904995,-1.338241,0.000000,0.000000
5.811523,-1.488121,0.000000,0.000000
5.711142,-1.629775,0.000000,0.000000
5.591660,-1.757514,0.000000,0.000000
5.459136,-1.872850,0.000000,0.000000
5.311165,-1.967813,0.000000,0.000000
5.151758,-2.041362,0.000000,0.000000
4.987742,-2.086693,0.000000,0.000000
4.817278,-2.110245,0.000000,0.000000
4.643866,-2.123928,0.000000,0.000000
4.470163,-2.119691,0.000000,0.000000
4.297619,-2.116365,0.000000,0.000000
4.124911,-2.112345,0.000000,0.000000
3.953534,-2.108485,0.000000,0.000000
3.781838,-2.106592,0.000000,0.000000
3.609554,-2.103953,0.000000,0.000000
3.437433,-2.100827,0.000000,0.000000
3.264898,-2.099973,0.000000,0.000000
3.089066,-2.097896,0.000000,0.000000
2.917412,-2.066430,0.000000,0.000000
2.749369,-2.020017,0.000000,0.000000
2.583988,-1.965482,0.000000,0.000000
2.422003,-1.898844,0.000000,0.000000
2.265035,-1.818123,0.000000,0.000000
2.116801,-1.727007,0.000000,0.000000
1.967845,-1.633477,0.000000,0.000000
1.828232,-1.530169,0.000000,0.000000
1.686958,-1.428222,0.000000,0.000000
1.545243,-1.325789,0.000000,0.000000
1.402141,-1.223492,0.000000,0.000000
1.261792,-1.122743,0.000000,0.000000
1.121406,-1.019970,0.000000,0.000000
0.981226,-0.917085,0.000000,0.000000
0.840239,-0.814924,0.000000,0.000000
0.685327,-0.702247,0.000000,0.000000
0.542747,-0.600342,0.000000,0.000000
0.402341,-0.498563,0.000000,0.000000
0.256746,-0.397089,0.000000,0.000000
0.118861,-0.295722,0.000000,0.000000
-0.021277,-0.191856,0.000000,0.000000
-0.160237,-0.089433,0.000000,0.000000
-0.299646,0.013513,0.000000,0.000000
-0.439077,0.116326,0.000000,0.000000
-0.579182,0.220308,0.000000,0.000000
-0.719495,0.323796,0.000000,0.000000
-0.858414,0.426071,0.000000,0.000000
-0.997755,0.529142,0.000000,0.000000
-1.139824,0.633170,0.000000,0.000000
-1.279117,0.735291,0.000000,0.000000
-1.419540,0.839049,0.000000,0.000000
-1.557868,0.942618,0.000000,0.000000
-1.698198,1.045120,0.000000,0.000000
-1.836896,1.151153,0.000000,0.000000
-1.976335,1.254093,0.000000,0.000000
-2.118148,1.357533,0.000000,0.000000
-2.258965,1.461217,0.000000,0.000000
-2.399444,1.564010,0.000000,0.000000
-2.542092,1.662566,0.000000,0.000000
-2.700304,1.737150,0.000000,0.000000
-2.867139,1.793853,0.000000,0.000000
-3.035734,1.829238,0.000000,0.000000
-3.204743,1.862714,0.000000,0.000000
-3.377409,1.876197,0.000000,0.000000
-3.551121,1.880059,0.000000,0.000000
-3.726517,1.883666,0.000000,0.000000
-3.902465,1.888121,0.000000,0.000000
-4.075902,1.892668,0.000000,0.000000
-4.250773,1.896546,0.000000,0.000000
-4.424570,1.899646,0.000000,0.000000
