x,y,left_bound,right_bound
-0.000448,-0.000542,2.000000,2.000000
0.106119,-0.000299,2.000000,2.000000
0.229695,0.000520,2.000000,2.000000
0.374454,0.001723,2.000000,2.000000
0.522455,-0.000601,2.000000,2.000000
0.669883,0.000897,2.000000,2.000000
0.770086,0.001532,2.000000,2.000000
0.916587,-0.001092,2.000000,2.000000
1.062991,-0.000918,2.000000,2.000000
1.165048,0.002498,2.000000,2.000000
1.279276,-0.000923,2.000000,2.000000
1.380232,-0.001808,2.000000,2.000000
1.481997,-0.001051,2.000000,2.000000
1.589093,-0.000251,2.000000,2.000000
1.689655,-0.000028,2.000000,2.000000
1.838005,0.000271,2.000000,2.000000
1.938336,0.000162,2.000000,2.000000
2.087836,0.000685,2.000000,2.000000
2.189007,0.002674,2.000000,2.000000
2.331813,0.000063,2.000000,2.000000
2.472299,-0.000718,2.000000,2.000000
2.608307,0.000983,2.000000,2.000000
2.710900,0.000181,2.000000,2.000000
2.821612,-0.000361,2.000000,2.000000
2.971804,0.001370,2.000000,2.000000
3.120731,0.001738,2.000000,2.000000
3.269141,0.000620,2.000000,2.000000
3.370086,0.003144,2.000000,2.000000
3.473631,0.002482,2.000000,2.000000
3.618665,0.009978,2.000000,2.000000
3.721943,0.004633,2.000000,2.000000
3.869331,-0.001340,2.000000,2.000000
4.015366,-0.002444,2.000000,2.000000
4.167192,0.000189,2.000000,2.000000
4.316508,-0.001509,2.000000,2.000000
4.471335,0.000500,2.000000,2.000000
4.620590,0.001350,2.000000,2.000000
4.726129,-0.002336,2.000000,2.000000
4.867754,-0.000745,2.000000,2.000000
5.014818,0.001113,2.000000,2.000000
5.117887,0.000998,2.000000,2.000000
5.269601,0.001277,2.000000,2.000000
5.421602,0.001216,2.000000,2.000000
5.575407,0.001848,2.000000,2.000000
5.721350,0.001599,2.000000,2.000000
5.824512,0.001806,2.000000,2.000000
5.973532,0.001881,2.000000,2.000000
6.073832,0.001281,2.000000,2.000000
6.175219,0.001621,2.000000,2.000000
6.277949,0.002491,2.000000,2.000000
6.426920,0.003507,2.000000,2.000000
6.531467,-0.000736,2.000000,2.000000
6.681319,0.003306,2.000000,2.000000
6.782525,0.000100,2.000000,2.000000
6.933237,0.000876,2.000000,2.000000
7.076742,0.002498,2.000000,2.000000
7.179471,0.002409,2.000000,2.000000
7.306073,0.004330,2.000000,2.000000
7.448410,0.008271,2.000000,2.000000
7.549004,0.013108,2.000000,2.000000
7.683537,0.010009,2.000000,2.000000
7.816943,0.008424,2.000000,2.000000
7.922008,0.014534,2.000000,2.000000
8.061870,0.014702,2.000000,2.000000
8.207507,0.010851,2.000000,2.000000
8.309341,0.015763,2.000000,2.000000
8.452500,0.016423,2.000000,2.000000
8.610136,0.022934,2.000000,2.000000
