s,dv2o
11.0692,1.99967
11.0883,1.93846
11.1283,1.93651
11.1558,1.93161
11.1833,1.88552
11.2168,1.88675
11.2504,1.86633
11.2626,1.84332
11.2879,1.84154
11.2964,1.83526
11.3159,1.81626
11.3382,1.81619
11.3537,1.80948
11.3681,1.8041
11.3814,1.80171
11.3928,1.79373
11.4055,1.7883
11.4178,1.76144
11.4399,1.75761
11.4619,1.74502
11.4775,1.72407
11.4985,1.70489
11.522,1.68597
11.5451,1.60265
11.5682,1.57628
11.6082,1.57582
11.6482,1.57713
11.6791,1.55513
11.7097,1.47688
11.7497,1.47724
11.7897,1.45536
11.8256,1.45464
11.8467,1.45596
11.8607,1.44236
11.8773,1.42833
11.8958,1.41945
11.9129,1.41261
11.9283,1.40708
11.9421,1.39734
11.957,1.39018
11.9714,1.38504
11.9845,1.36886
12.0019,1.35726
12.0187,1.34345
12.0381,1.33489
12.0555,1.33645
12.0673,1.32363
12.0827,1.28908
12.1119,1.24854
12.1493,1.22736
12.1771,1.17478
12.2171,1.17601
12.2481,1.1667
12.2712,1.15351
12.2951,1.14668
12.312,1.14553
12.3247,1.13178
12.3408,1.1114
12.3619,1.0907
12.3865,1.07727
12.4082,1.06368
12.4293,1.0504
12.4498,1.0455
12.4667,0.972663
12.5067,0.950627
12.5466,0.945042
12.5748,0.923672
12.6043,0.882525
12.6422,0.83672
12.6822,0.830819
12.7141,0.797078
12.7515,0.748949
12.7915,0.749205
12.8199,0.739478
12.8422,0.733211
12.8602,0.732254
12.8735,0.733932
12.8828,0.725236
12.8946,0.724945
12.9037,0.704839
12.921,0.700074
12.9355,0.691382
12.9503,0.684762
12.964,0.677544
12.9779,0.67684
12.9859,0.649069
13.0085,0.63861
13.0283,0.623451
13.0493,0.610773
13.0734,0.599198
13.0911,0.588738
13.1084,0.580753
13.1245,0.547822
13.1517,0.534165
13.1757,0.453596
13.2157,0.38724
13.2557,0.381431
13.2957,0.376259
13.3357,0.365661
13.3696,0.359508
13.3928,0.349155
13.4101,0.347135
13.4233,0.331486
13.4355,0.326456
13.4463,0.32012
13.4565,0.309917
13.4665,0.303589
13.4761,0.300503
